city,freebase_id,iata_code,country
Aknīste,/m/0c3s2z,,Latvia
Akok,/m/05f8_1s,,Gabon
Akola,/m/03l45k,,India
Akonibe,/m/09rbj7,,Equatorial Guinea
Akonolinga,/m/043k74v,,Cameroon
Akrai,/m/011l8hd8,,Italy
Akranes,/m/01tnv3,,Iceland
Akriai,/m/012hdwxr,,Greece
Akrillai,/m/05c1jnq,,Italy
Akron,/m/0z20d,,United States
Akron,/m/0t25x,,United States
Akrotiri,/m/02q0qt8,,Greece
Aksaray,/m/05kq_k,,Turkey
Akshak,/m/026r3sv,,Iraq
Aksu,/m/02rq8nq,,Kazakhstan
Aksu,/m/02rq8nq,,Soviet Union
Aksu,/m/02rq8nq,,Russian Empire
Aktau,/m/02gzlg,,Kazakhstan
Aktobe,/m/03wyr5,,Kazakhstan
Aku Ozoro,/m/026yd8n,,Nigeria
Akure,/m/02b8cw,,Nigeria
Akureyri,/m/0pqtf,,Iceland
Akutan,/m/01z1bzg,,United States
Akçakale,/m/0bnmqy,,Turkey
Al Aaroui,/m/0b6kdpd,,Morocco
Al Ain,/m/01f2q_,,United Arab Emirates
Al Bahah,/m/0b7cnr,,Saudi Arabia
Al Bayda,/m/06njz1,,Libya
Al Dahiriya,/m/03cq0xl,,Palestine
Al Diwaniyah,/m/02q5_l,,Iraq
Al Ghuwariyah,/m/09ql8_,,Qatar
Al Hamool,/m/05h4smd,,Egypt
Al Hashimiyya,/m/05p8l02,,Jordan
Al Hawiyah,/m/0ggb900,,Saudi Arabia
Al Hoceima,/m/03zvrp,,Morocco
Al Hudaydah,/m/039_81,,Yemen
Al Husn,/m/0cs2w0,,Jordan
Al Jabalayn,/m/04ldvj3,,Sudan
Al Jawf,/m/0bvr6f,,Libya
Al Jubayhah,/m/04f_1tm,,Jordan
Al Majma'ah,/m/0b8x3q,,Saudi Arabia
Al Mudhaibi,/m/04gm8qh,,Oman
Al Qadarif,/m/056bm5,,Sudan
Al Quwaysimah,/m/04g0h_5,,Jordan
Al Wajajah,/m/065nt3,,Oman
